CONTROL,SMSA,AGE1,BEDRMS,BUILT,STATUS,TYPE,VALUE,VACANCY,TENURE,NUNITS,PER,ZINC2,ROOMS,ZADEQ,ZSMHC,METRO,WEIGHT,STRUCTURETYPE,OWNRENT,UTILITY,OTHERCOST,COST06,COST12,COST08,COSTMED,TOTSAL,ASSISTED,IPOV,LMED,L50,L80,FMR,GLMED,GL50,GL80,APLMED,ABL50,ABL80,ABLMED,BURDEN,INCRELAMIPCT,INCRELAMICAT,INCRELPOVPCT,INCRELPOVCAT,INCRELFMRPCT,INCRELFMRCAT,COST06RELAMIPCT,COST06RELAMICAT,COST06RELPOVPCT,COST06RELPOVCAT,COST06RELFMRPCT,COST06RELFMRCAT,COST08RELAMIPCT,COST08RELAMICAT,COST08RELPOVPCT,COST08RELPOVCAT,COST08RELFMRPCT,COST08RELFMRCAT,COST12RELAMIPCT,COST12RELAMICAT,COST12RELPOVPCT,COST12RELPOVCAT,COST12RELFMRPCT,COST12RELFMRCAT,COSTMedRELAMIPCT,COSTMedRELAMICAT,COSTMedRELPOVPCT,COSTMedRELPOVCAT,COSTMedRELFMRPCT,COSTMedRELFMRCAT,FMTZADEQ,FMTMETRO,FMTBUILT,FMTSTRUCTURETYPE,FMTBEDRMS,FMTOWNRENT,FMTCOST06RELPOVCAT,FMTCOST08RELPOVCAT,FMTCOST12RELPOVCAT,FMTCOSTMEDRELPOVCAT,FMTINCRELPOVCAT,FMTCOST06RELFMRCAT,FMTCOST08RELFMRCAT,FMTCOST12RELFMRCAT,FMTCOSTMEDRELFMRCAT,FMTINCRELFMRCAT,FMTCOST06RELAMICAT,FMTCOST08RELAMICAT,FMTCOST12RELAMICAT,FMTCOSTMEDRELAMICAT,FMTINCRELAMICAT,FMTASSISTED,FMTBURDEN,FMTSTATUS
'000000000044','7600',25,2,1990,'1',1,-6,-6,'2',28,3,37000,4,'1',989,'1',731.39935002,4,'2',99,0,989,989,989,989,0,0,17268,84300,37935,57600,987,94736.34,42631.353,64730.88,85262.706,42631.353,64730.88,85262.706,0.3207567568,43.395291723,2,214.2691684,4,93.718338399,2,46.397776772,2,229.09427843,4,100.20263425,3,46.397776772,2,229.09427843,4,100.20263425,3,46.397776772,2,229.09427843,4,100.20263425,3,46.397776772,2,229.09427843,4,100.20263425,3,'1 Adequate','-5','1990-1999','4 20-49 units','2 2BR','2 Renter','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','2 50.1 - 100% FMR','2 30 - 50% AMI','2 30 - 50% AMI','2 30 - 50% AMI','2 30 - 50% AMI','2 30 - 50% AMI','0 Not Assisted','2 30% to 50%','-5'
'000000000051','7600',30,3,2002,'1',1,-6,-6,'2',10,3,74651,5,'1',1593,'1',836.72085642,3,'2',269,24.166666667,1593,1593,1593,1593,69000,0,16781,84300,37935,57600,1395,94736.34,42631.353,64730.88,85262.706,49262.8968,74800.128,98525.7936,0.2560715864,87.554106012,5,444.85429951,4,133.78315412,3,64.673419692,4,379.71515404,4,114.19354839,3,64.673419692,4,379.71515404,4,114.19354839,3,64.673419692,4,379.71515404,4,114.19354839,3,64.673419692,4,379.71515404,4,114.19354839,3,'1 Adequate','-5','2000-2009','3 5-19 units','3 3BR','2 Renter','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','4 60 - 80% AMI','4 60 - 80% AMI','4 60 - 80% AMI','4 60 - 80% AMI','5 80 - 100% AMI','0 Not Assisted','1 Less than 30%','-5'
'000000000068','7600',40,1,1990,'1',1,-6,-6,'2',40,1,52000,3,'1',1310,'1',759.38931156,4,'2',99.25,10.416666667,1310,1310,1310,1310,52000,0,11161,84300,29505,44800,820,94736.34,33157.719,50346.24,66315.438,35526.1275,53942.4,71052.255,0.3023076923,78.413114002,5,465.90807275,4,158.53658537,3,73.748539015,4,469.49198101,4,159.75609756,3,73.748539015,4,469.49198101,4,159.75609756,3,73.748539015,4,469.49198101,4,159.75609756,3,73.748539015,4,469.49198101,4,159.75609756,3,'1 Adequate','-5','1990-1999','4 20-49 units','1 1BR','2 Renter','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','4 60 - 80% AMI','4 60 - 80% AMI','4 60 - 80% AMI','4 60 - 80% AMI','5 80 - 100% AMI','0 Not Assisted','2 30% to 50%','-5'
'000000000073','7600',28,2,1990,'1',1,-6,-6,'2',26,1,16000,5,'1',102,'1',731.39935002,4,'2',64,8.8333333333,102,102,102,102,16000,1,11161,84300,29505,44800,987,94736.34,33157.719,50346.24,66315.438,42631.353,64730.88,85262.706,0.0765,24.127112001,1,143.35633008,2,40.526849037,1,4.7852105468,1,36.55586417,1,10.334346505,1,4.7852105468,1,36.55586417,1,10.334346505,1,4.7852105468,1,36.55586417,1,10.334346505,1,4.7852105468,1,36.55586417,1,10.334346505,1,'1 Adequate','-5','1990-1999','4 20-49 units','2 2BR','2 Renter','1 LTE Poverty','1 LTE Poverty','1 LTE Poverty','1 LTE Poverty','2 100-150% Poverty','1 LTE 50% FMR','1 LTE 50% FMR','1 LTE 50% FMR','1 LTE 50% FMR','1 LTE 50% FMR','1 LTE 30% AMI','1 LTE 30% AMI','1 LTE 30% AMI','1 LTE 30% AMI','1 LTE 30% AMI','1 Assisted','1 Less than 30%','-5'
'000000000074','7600',37,2,1990,'1',1,-6,-6,'2',250,1,83000,4,'2',2005,'1',708.80929415,5,'2',88.666666667,16.666666667,2005,2005,2005,2005,83000,0,11161,84300,29505,44800,987,94736.34,33157.719,50346.24,66315.438,42631.353,64730.88,85262.706,0.2898795181,125.1593935,7,743.66096228,4,210.23302938,3,94.062226925,5,718.57360452,4,203.1408308,3,94.062226925,5,718.57360452,4,203.1408308,3,94.062226925,5,718.57360452,4,203.1408308,3,94.062226925,5,718.57360452,4,203.1408308,3,'2 Moderately Inadequ','-5','1990-1999','5 50+ units','2 2BR','2 Renter','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','5 80 - 100% AMI','5 80 - 100% AMI','5 80 - 100% AMI','5 80 - 100% AMI','7 120% AMI +','0 Not Assisted','1 Less than 30%','-5'
'000000000104','7600',69,3,1990,'1',1,220000,-6,'1',1,1,21876,6,'1',603,'7',364.54919113,1,'1',256.33333333,64.75,1783.1933731,2632.7362752,2048.9371896,1735.8830135,0,-9,10289,84300,29505,44800,1395,94736.34,33157.719,50346.24,66315.438,49262.8968,74800.128,98525.7936,0.3307734504,32.987793883,2,212.61541452,4,39.204301075,1,72.394986449,4,693.24263704,4,127.82748195,3,83.183788316,5,796.55445218,4,146.87721789,3,106.88515886,6,1023.5149287,4,188.72661471,3,70.474256541,4,674.85003927,4,124.43605832,3,'1 Adequate','-5','1990-1999','1 Single Family','3 3BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','1 LTE 50% FMR','4 60 - 80% AMI','5 80 - 100% AMI','6 100 - 120% AMI','4 60 - 80% AMI','2 30 - 50% AMI','.','2 30% to 50%','-5'
'000000000105','7600',45,1,1990,'1',1,225000,-6,'1',30,1,28000,3,'1',1186,'1',760.65532402,4,'1',30,281.25,1806.5898134,2675.4405088,2078.3732621,1758.2042184,28000,-9,11161,84300,29505,44800,820,94736.34,33157.719,50346.24,66315.438,35526.1275,53942.4,71052.255,0.5082857143,42.222446001,2,250.87357764,4,85.365853659,2,101.70485446,6,647.46521403,4,220.31583091,3,117.00533711,6,744.86990847,4,253.46015392,3,150.61818988,7,958.8533317,4,326.27323278,3,98.980910225,5,630.12426068,4,214.41514858,3,'1 Adequate','-5','1990-1999','4 20-49 units','1 1BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','2 50.1 - 100% FMR','6 100 - 120% AMI','6 100 - 120% AMI','7 120% AMI +','5 80 - 100% AMI','2 30 - 50% AMI','.','3 Greater than 50%','-5'
'000000000107','7600',30,1,1990,'1',1,450000,-6,'1',192,1,117200,3,'2',3117,'1',919.4734686,5,'1',35,381.66666667,3407.3462935,5145.0476842,3950.9131909,3310.5751034,115000,-9,11161,84300,29505,44800,820,94736.34,33157.719,50346.24,66315.438,35526.1275,53942.4,71052.255,0.3191467577,176.7310954,7,1050.0851178,4,357.31707317,3,191.82199318,7,1221.1616499,4,415.5300358,3,222.42295848,7,1415.9710388,4,481.81868181,3,289.64866403,7,1843.9378852,4,627.44483954,3,186.37410471,7,1186.4797432,4,403.72867114,3,'2 Moderately Inadequ','-5','1990-1999','5 50+ units','1 1BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','7 120% AMI +','7 120% AMI +','7 120% AMI +','7 120% AMI +','7 120% AMI +','.','2 30% to 50%','-5'
'000000000108','7600',26,2,1990,'1',1,-6,-6,'2',4,2,58100,5,'1',1161,'1',671.01999942,2,'2',26,0,1161,1161,1161,1161,58000,0,14366,84300,33720,51200,987,94736.34,37894.536,57538.56,75789.072,42631.353,64730.88,85262.706,0.2397934596,76.660128521,5,404.42711959,4,147.16312057,3,54.466955342,3,323.26326048,4,117.62917933,3,54.466955342,3,323.26326048,4,117.62917933,3,54.466955342,3,323.26326048,4,117.62917933,3,54.466955342,3,323.26326048,4,117.62917933,3,'1 Adequate','-5','1990-1999','2 2-4 units','2 2BR','2 Renter','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','3 50 - 60% AMI','3 50 - 60% AMI','3 50 - 60% AMI','3 50 - 60% AMI','5 80 - 100% AMI','0 Not Assisted','1 Less than 30%','-5'
'000000000109','7600',-9,3,1990,'3',1,350000,3,'-6',1,-6,-6,7,'-6',-6,'7',321.81571401,1,'1',150,75,2551.0841542,3902.6296803,2973.8584077,2475.817673,-9,-9,11161,84300,29505,44800,1395,94736.34,33157.719,50346.24,-9,49262.8968,74800.128,98525.7936,-9,-9,-9,-9,-9,-9,-9,103.57020476,6,914.28515518,4,182.87341607,3,120.73420773,7,1065.8035688,4,213.17981417,3,158.4409336,7,1398.6666716,4,279.75840002,3,100.51449808,6,887.31033886,4,177.47796939,3,'-5','-5','1990-1999','1 Single Family','3 3BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','.','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','.','6 100 - 120% AMI','7 120% AMI +','7 120% AMI +','6 100 - 120% AMI','.','.','.','-5'
'000000000114','7600',67,1,1990,'1',1,-6,-6,'2',175,1,21000,2,'1',575,'1',760.65532402,5,'2',0,0,575,575,575,575,6000,1,10289,84300,29505,44800,820,94736.34,33157.719,50346.24,66315.438,35526.1275,53942.4,71052.255,0.3285714286,31.666834501,2,204.10146759,4,64.024390244,2,32.370541934,2,223.5397026,4,70.12195122,2,32.370541934,2,223.5397026,4,70.12195122,2,32.370541934,2,223.5397026,4,70.12195122,2,32.370541934,2,223.5397026,4,70.12195122,2,'1 Adequate','-5','1990-1999','5 50+ units','1 1BR','2 Renter','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','2 50.1 - 100% FMR','2 50.1 - 100% FMR','2 50.1 - 100% FMR','2 50.1 - 100% FMR','2 50.1 - 100% FMR','2 30 - 50% AMI','2 30 - 50% AMI','2 30 - 50% AMI','2 30 - 50% AMI','2 30 - 50% AMI','1 Assisted','2 30% to 50%','-5'
'000000000128','7600',-9,1,1990,'3',1,-6,1,'-6',90,-6,-6,3,'-6',-6,'1',643.63142802,5,'2',42,0,817,817,817,817,-9,-9,11161,84300,29505,44800,820,94736.34,33157.719,50346.24,-9,35526.1275,53942.4,71052.255,-9,-9,-9,-9,-9,-9,-9,45.994317844,2,292.80530418,4,99.634146341,2,45.994317844,2,292.80530418,4,99.634146341,2,45.994317844,2,292.80530418,4,99.634146341,2,45.994317844,2,292.80530418,4,99.634146341,2,'-5','-5','1990-1999','5 50+ units','1 1BR','2 Renter','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','.','2 50.1 - 100% FMR','2 50.1 - 100% FMR','2 50.1 - 100% FMR','2 50.1 - 100% FMR','.','2 30 - 50% AMI','2 30 - 50% AMI','2 30 - 50% AMI','2 30 - 50% AMI','.','.','.','-5'
'000000000129','7600',27,1,1990,'1',1,130000,-6,'1',12,1,35000,3,'1',1433,'7',836.28301191,3,'1',20,246.66666667,1130.6407811,1632.6434051,1287.6712181,1102.6846595,35000,-9,11161,84300,29505,44800,820,94736.34,33157.719,50346.24,66315.438,35526.1275,53942.4,71052.255,0.4913142857,52.778057501,3,313.59197205,4,106.70731707,3,63.651225769,4,405.21128254,4,137.88302208,3,72.491504632,4,461.48955044,4,157.03307538,3,91.912264013,5,585.12441719,4,199.10285428,3,62.077391323,4,395.19206505,4,134.47373896,3,'1 Adequate','-5','1990-1999','3 5-19 units','1 1BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','4 60 - 80% AMI','4 60 - 80% AMI','5 80 - 100% AMI','4 60 - 80% AMI','3 50 - 60% AMI','.','2 30% to 50%','-5'
'000000000130','7600',38,0,1995,'1',1,-6,-6,'2',95,1,96500,2,'1',1004,'1',759.38931156,5,'2',39.333333333,25,1004,1004,1004,1004,58000,0,11161,84300,29505,44800,720,94736.34,33157.719,50346.24,66315.438,33157.719,50346.24,66315.438,0.1248497409,145.51664425,7,864.61786578,4,335.06944444,3,60.559051122,4,359.8243885,4,139.44444444,3,60.559051122,4,359.8243885,4,139.44444444,3,60.559051122,4,359.8243885,4,139.44444444,3,60.559051122,4,359.8243885,4,139.44444444,3,'1 Adequate','-5','1990-1999','5 50+ units','0 Studio','2 Renter','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','4 60 - 80% AMI','4 60 - 80% AMI','4 60 - 80% AMI','4 60 - 80% AMI','7 120% AMI +','0 Not Assisted','1 Less than 30%','-5'
'000000000137','7600',52,4,1990,'1',1,550000,-6,'1',1,3,177700,9,'1',2640,'1',665.08580895,1,'1',306.75,137.5,4099.5250995,6223.3823548,4763.8846407,3981.2492004,177000,-9,16781,84300,37935,57600,1704,94736.34,42631.353,64730.88,85262.706,54947.0772,83430.912,109894.1544,0.1782779966,208.41468484,7,1058.9357011,4,260.7100939,3,149.21722168,7,977.18255158,4,240.58245889,3,173.39901896,7,1135.5424923,4,279.57069488,3,226.52278053,7,1483.4353983,4,365.22196918,3,144.9121374,7,948.9897385,4,233.641385,3,'1 Adequate','-5','1990-1999','1 Single Family','4 4BR+','1 Owner','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','7 120% AMI +','7 120% AMI +','7 120% AMI +','7 120% AMI +','7 120% AMI +','.','1 Less than 30%','-5'
