rank,company,market cap,country
67,CVS Health Corp,"$104,277 ",UNITED STATES
68,Akelius Residential Property AB publ,"$102,737 ",SWEDEN
69,Abbvie Inc,"$102,411 ",UNITED STATES
70,NTT DoCoMo Incorporated,"$101,105 ",JAPAN
71,"Mastercard, Inc.","$100,205 ",UNITED STATES
72,Commonwealth Bank of Australia,"$98,345 ",AUSTRALIA
73,"United Parcel Service, Inc.","$98,151 ",UNITED STATES
74,Nike Inc.,"$97,495 ",UNITED STATES
75,Nippon Telegraph and Telephone Corporation,"$96,445 ",JAPAN
76,Allergan plc,"$95,927 ",IRELAND
77,SABMiller plc,"$95,407 ",UNITED KINGDOM
78,Sap Ag,"$94,443 ",GERMANY
79,Royal Bank of Canada,"$92,172 ",CANADA
80,China Life Insurance Co Ltd,"$91,677 ",CHINA
81,Ambev S.A,"$91,118 ",BRAZIL
82,Honeywell International Incorporated,"$90,867 ",UNITED STATES
83,Walgreens Boots Alliance Inc,"$89,259 ",UNITED STATES
84,Ping An Insurance (Group) Company Of China Ltd,"$89,089 ",CHINA
85,Eli Lilly and Company,"$88,602 ",UNITED STATES
86,United Technologies Corporation,"$88,289 ",UNITED STATES
87,China Petroleum & Chemical Corporation,"$86,316 ",CHINA
88,Bayer AG,"$85,982 ",GERMANY
89,Siemens AG,"$84,614 ",GERMANY
90,Boeing Co,"$84,334 ",UNITED STATES
91,Starbucks Corporation,"$84,100 ",UNITED STATES
92,BHP Billiton Limited,"$82,428 ",AUSTRALIA
93,Toronto-Dominion Bank,"$81,346 ",CANADA
94,Vodafone Group public limited company,"$80,488 ",UNITED KINGDOM
95,Qualcomm Incorporated,"$80,423 ",UNITED STATES
96,Celgene Corporation,"$79,668 ",UNITED STATES
97,Union Pacific Corporation,"$79,040 ",UNITED STATES
98,Deutsche Telekom Ag,"$78,527 ",GERMANY
99,Lockheed Martin Corporation,"$78,238 ",UNITED STATES
100,LVMH Moet Hennessy Louis Vuitton SE,"$77,953 ",FRANCE
